,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,76.96,76,25,10.76,EC,1650823200
1,Tezu,27.9167,96.1667,68.0,79,87,4.72,IN,1650823200
2,Prabumulih,-3.45,104.25,75.9,93,100,2.26,ID,1650823200
3,Vaini,-21.2,-175.2,77.97,94,75,3.62,TO,1650823200
4,Punta Arenas,-53.15,-70.9167,44.71,81,75,5.97,CL,1650823200
5,Saint-Philippe,-21.3585,55.7679,74.79,77,99,14.67,RE,1650823200
6,Albany,42.6001,-73.9662,64.04,34,91,8.61,US,1650823200
7,Saint-Augustin,51.226,-58.6502,38.89,84,100,19.48,CA,1650823200
8,Longyearbyen,78.2186,15.6401,12.04,57,20,3.36,SJ,1650823200
9,Killam,52.7834,-111.8518,53.55,47,15,5.55,CA,1650823200
10,Leningradskiy,69.3833,178.4167,14.65,96,98,3.47,RU,1650823200
11,Mar del Plata,-38.0023,-57.5575,75.42,58,0,15.19,AR,1650823200
12,Hay River,60.8156,-115.7999,37.85,56,20,14.09,CA,1650823200
13,Hermanus,-34.4187,19.2345,58.06,80,19,7.72,ZA,1650823200
14,Walvis Bay,-22.9575,14.5053,62.1,67,0,20.22,NA,1650823200
15,George Town,5.4112,100.3354,80.47,93,40,4.5,MY,1650823200
16,Province of Mantua,45.1667,10.7833,58.77,75,98,2.82,IT,1650823200
17,Jamestown,42.097,-79.2353,80.04,31,0,9.84,US,1650823200
18,Umeå,63.8284,20.2597,42.73,52,0,4.72,SE,1650823200
19,Ostrovnoy,68.0531,39.5131,35.49,98,100,14.92,RU,1650823200
20,Pitimbu,-7.4706,-34.8086,84.79,74,100,14.76,BR,1650823200
21,Banjar,-8.19,114.9675,77.16,91,43,3.27,ID,1650823200
22,Mujiayingzi,42.1167,118.7833,53.2,42,7,4.59,CN,1650823200
23,Astoria,46.1879,-123.8313,53.31,82,40,4.7,US,1650823200
24,Marsá Maţrūḩ,31.3525,27.2453,64.98,77,0,9.06,EG,1650823200
25,Tocopilla,-22.092,-70.1979,70.05,66,9,6.22,CL,1650823200
26,Busselton,-33.65,115.3333,65.52,49,100,12.39,AU,1650823200
27,Bethel,41.3712,-73.414,58.87,40,0,8.55,US,1650823200
28,Bethanien,-26.502,17.1583,55.81,24,0,14.94,NA,1650823200
29,Chapleau,47.8405,-83.4034,47.37,100,100,11.16,CA,1650823200
30,Kruisfontein,-34.0033,24.7314,56.88,70,75,8.7,ZA,1650823200
31,Bredasdorp,-34.5322,20.0403,54.93,88,21,5.19,ZA,1650823200
32,Hermosillo,29.0667,-110.9667,79.66,25,0,2.26,MX,1650823200
33,Hobart,-42.8794,147.3294,52.5,89,100,0.72,AU,1650823200
34,Turaif,31.6725,38.6637,62.85,88,75,14.45,SA,1650823200
35,Port Alfred,-33.5906,26.891,63.19,83,95,14.14,ZA,1650823200
36,Port Elizabeth,-33.918,25.5701,62.04,81,0,13.47,ZA,1650823200
37,Fairbanks,64.8378,-147.7164,37.65,64,0,0.96,US,1650823200
38,Springs,-26.25,28.4,64.87,50,66,6.46,ZA,1650823200
39,Pisco,-13.7,-76.2167,75.88,88,20,9.44,PE,1650823200
40,Sitka,57.0531,-135.33,44.49,81,100,2.93,US,1650823200
41,Mwinilunga,-11.7358,24.4293,62.76,94,76,3.67,ZM,1650823200
42,Chimbote,-9.0853,-78.5783,72.54,73,26,11.3,PE,1650823200
43,Katangli,51.7102,143.2326,28.49,98,100,8.93,RU,1650823200
44,Motomachi,43.8228,144.1044,46.67,64,84,1.92,JP,1650823200
45,Butaritari,3.0707,172.7902,79.47,80,100,15.17,KI,1650823200
46,Yellowknife,62.456,-114.3525,28.42,63,0,16.02,CA,1650823200
47,Carnarvon,-24.8667,113.6333,73.06,94,2,2.19,AU,1650823200
48,Mataura,-46.1927,168.8643,52.48,93,100,5.57,NZ,1650823200
49,Palauig,15.435,119.9045,82.08,72,10,3.2,PH,1650823200
50,Rørvik,64.8621,11.2373,43.38,81,20,15.05,NO,1650823200
51,Atuona,-9.8,-139.0333,78.85,74,26,15.88,PF,1650823200
52,Nanortalik,60.1432,-45.2371,38.34,89,84,5.93,GL,1650823200
53,High Level,58.5169,-117.136,38.64,70,40,12.48,CA,1650823200
54,Arraial do Cabo,-22.9661,-42.0278,80.46,69,20,11.65,BR,1650823200
55,East London,-33.0153,27.9116,63.59,88,20,14.56,ZA,1650823200
56,Kromy,52.6876,35.7667,48.85,92,100,5.41,RU,1650823200
57,Cidreira,-30.1811,-50.2056,70.95,68,1,18.63,BR,1650823200
58,Finschhafen,-6.6024,147.8681,78.69,82,57,3.49,PG,1650823200
59,Cherskiy,68.75,161.3,-3.41,100,86,4.74,RU,1650823200
60,Kaitangata,-46.2817,169.8464,52.84,83,97,11.63,NZ,1650823200
61,Avarua,-21.2078,-159.775,79.39,88,60,4.92,CK,1650823200
62,Talnakh,69.4865,88.3972,-5.96,100,63,2.1,RU,1650823200
63,Rikitea,-23.1203,-134.9692,73.51,84,100,9.93,PF,1650823200
64,Cape Town,-33.9258,18.4232,60.08,75,20,11.03,ZA,1650823200
65,San Quintín,30.4833,-115.95,69.87,46,0,8.25,MX,1650823200
66,San Luis,-33.295,-66.3356,81.97,30,3,21.81,AR,1650823200
67,Kapaa,22.0752,-159.319,74.55,85,100,14.99,US,1650823200
68,Novocheremshansk,54.3571,50.1666,51.28,75,75,5.77,RU,1650823200
69,Sørland,67.667,12.6934,43.2,91,100,12.41,NO,1650823200
70,Hithadhoo,-0.6,73.0833,84.97,71,95,9.98,MV,1650823200
71,Faanui,-16.4833,-151.75,80.58,71,60,5.61,PF,1650823200
72,Dikson,73.5069,80.5464,3.36,98,96,10.42,RU,1650823200
73,Alofi,-19.0595,-169.9187,78.58,94,99,10.76,NU,1650823200
74,Kahului,20.8947,-156.47,74.48,79,40,13.8,US,1650823200
75,Upernavik,72.7868,-56.1549,10.51,81,59,11.21,GL,1650823200
76,Shingū,33.7333,135.9833,63.43,93,100,0.67,JP,1650823200
77,Ribeira Grande,38.5167,-28.7,61.2,72,40,19.3,PT,1650823200
78,Tura,25.5198,90.2201,74.75,73,0,6.2,IN,1650823200
79,Grand Gaube,-20.0064,57.6608,77.25,72,97,24.72,MU,1650823200
80,Maidens,55.3338,-4.8147,53.64,69,54,9.93,GB,1650823200
81,Fuengirola,36.54,-4.6247,68.85,53,20,6.24,ES,1650823200
82,Ushuaia,-54.8,-68.3,44.26,61,75,3.38,AR,1650823200
83,Nagyrábé,47.2,21.3333,59.2,90,96,4.59,HU,1650823200
84,Ayan,56.45,138.1667,25.61,89,100,2.93,RU,1650823200
85,Keetmanshoop,-26.5833,18.1333,59.92,18,0,13.65,NA,1650823200
86,São Filipe,14.8961,-24.4956,75.61,71,7,4.16,CV,1650823200
87,Megion,61.0296,76.1136,32.05,99,100,8.5,RU,1650823200
88,Weiden,49.6775,12.1567,48.74,78,100,3.47,DE,1650823200
89,Ancud,-41.8697,-73.8203,49.57,76,100,23.26,CL,1650823200
90,Abonnema,4.7084,6.7931,82.69,82,100,5.35,NG,1650823200
91,Caravelas,-17.7125,-39.2481,86.47,60,11,8.32,BR,1650823200
92,Yelizovo,53.1873,158.3805,37.11,74,40,8.86,RU,1650823200
93,Nikolskoye,59.7035,30.7861,45.84,85,100,11.16,RU,1650823200
94,Parkes,-33.1333,148.1833,58.35,72,100,11.68,AU,1650823200
95,Saint Paul Harbor,57.79,-152.4072,42.31,81,100,5.19,US,1650823200
96,Srednekolymsk,67.45,153.6833,7.38,97,95,8.68,RU,1650823200
97,Constitución,-35.3333,-72.4167,58.23,90,95,19.75,CL,1650823200
98,Manavālakurichi,8.1333,77.3,81.97,82,2,4.56,IN,1650823200
99,Tasiilaq,65.6145,-37.6368,41.16,70,100,4.14,GL,1650823200
100,Husavik,66.0449,-17.3389,43.21,81,70,2.57,IS,1650823200
101,St-Jean-Port-Joli,47.2171,-70.2658,42.04,66,43,10.76,CA,1650823200
102,Tuktoyaktuk,69.4541,-133.0374,27.77,86,0,4.21,CA,1650823200
103,Bairiki Village,1.3292,172.9752,80.28,89,20,14.12,KI,1650823200
104,Beisfjord,68.3751,17.5988,42.04,100,100,3.49,NO,1650823200
105,Umm Kaddadah,13.6017,26.6876,87.75,6,2,12.57,SD,1650823200
106,Hilo,19.7297,-155.09,73.31,91,100,5.97,US,1650823200
107,Tilichiki,60.4667,166.1,23.76,83,100,11.32,RU,1650823200
108,Port Hardy,50.6996,-127.4199,46.58,81,100,14.12,CA,1650823200
109,Khatanga,71.9667,102.5,-12.59,100,94,4.47,RU,1650823200
110,Okha,53.5739,142.9478,28.4,93,100,10.89,RU,1650823200
111,Itaituba,-4.2761,-55.9836,91.56,58,20,3.96,BR,1650823200
112,Narva-Jõesuu,59.4589,28.0408,41.56,87,100,17.09,EE,1650823200
113,Bluff,-46.6,168.3333,54.93,84,83,19.95,NZ,1650823200
114,Qaanaaq,77.484,-69.3632,7.18,71,25,6.4,GL,1650823200
115,São João do Piauí,-8.3581,-42.2467,93.87,27,100,11.14,BR,1650823200
116,Lavrentiya,65.5833,-171.0,15.57,91,62,4.97,RU,1650823200
117,Boende,-0.2167,20.8667,74.89,81,84,2.53,CD,1650823200
118,Bambous Virieux,-20.3428,57.7575,75.49,78,75,19.51,MU,1650823200
119,Harper,4.375,-7.7169,83.41,76,99,8.99,LR,1650823200
120,Iqaluit,63.7506,-68.5145,23.05,79,100,13.62,CA,1650823200
121,Ciudad Real,39.0,-4.0,62.65,61,74,7.67,ES,1650823200
122,Barrow,71.2906,-156.7887,15.49,78,0,9.8,US,1650823200
123,Lorengau,-2.0226,147.2712,80.4,83,59,6.22,PG,1650823200
124,Mahébourg,-20.4081,57.7,75.7,78,75,19.55,MU,1650823200
125,Chui,-33.6971,-53.4616,75.13,34,0,11.16,UY,1650823200
126,Inhambane,-23.865,35.3833,76.98,83,20,6.15,MZ,1650823200
127,Muros,42.7762,-9.0603,57.83,83,100,5.77,ES,1650823200
128,Pacific Grove,36.6177,-121.9166,57.94,81,20,7.25,US,1650823200
129,Marabu,4.4148,114.0089,78.94,100,40,0.45,MY,1650823200
130,Aksarka,66.5606,67.7975,7.9,97,83,5.59,RU,1650823200
131,Teguise,29.0605,-13.564,62.82,63,20,8.95,ES,1650823200
132,Bodden Town,19.2833,-81.25,81.97,69,75,23.55,KY,1650823200
133,Hecun,36.5333,114.1111,72.77,43,100,4.16,CN,1650823200
134,Cayenne,4.9333,-52.3333,85.08,6,100,9.28,GF,1650823200
135,Olenegorsk,68.15,33.3,33.48,99,96,1.66,RU,1650823200
136,Sakaiminato,35.55,133.2333,60.35,94,20,3.69,JP,1650823200
137,Cienfuegos,22.1461,-80.4356,89.74,48,40,10.36,CU,1650823200
138,Kapit,2.0167,112.9333,74.88,99,100,0.54,MY,1650823200
139,Poum,-20.2333,164.0167,75.58,79,54,10.74,NC,1650823200
140,Vardø,70.3705,31.1107,35.69,93,75,8.61,NO,1650823200
141,Havre-St-Pierre,50.2334,-63.5986,46.76,46,0,14.74,CA,1650823200
142,Moscow,55.7522,37.6156,49.5,77,100,6.78,RU,1650823200
143,Beyneu,45.3167,55.2,61.03,45,28,13.4,KZ,1650823200
144,Thompson,55.7435,-97.8558,20.73,49,75,17.92,CA,1650823200
145,Labuhan,-6.8844,112.2051,78.91,85,100,4.43,ID,1650823200
146,San Cristobal,7.7669,-72.225,81.73,55,83,4.92,VE,1650823200
147,College,64.8569,-147.8028,37.8,64,40,0.83,US,1650823200
148,Buchanan,5.8808,-10.0467,83.59,74,43,9.55,LR,1650823200
149,Linxia Chengguanzhen,35.6003,103.2064,52.65,65,97,2.89,CN,1650823200
150,Réo,12.3167,-2.4667,103.03,8,22,6.08,BF,1650823200
151,Guerrero Negro,27.9769,-114.0611,73.06,40,0,7.14,MX,1650823200
152,Mt. Pleasant,32.7941,-79.8626,78.66,53,0,8.55,US,1650823200
153,Wawa,9.9022,4.4192,93.83,36,87,6.15,NG,1650823200
154,Qaqortoq,60.7167,-46.0333,38.75,85,88,8.72,GL,1650823200
155,Zella-Mehlis,50.65,10.65,41.95,89,100,8.77,DE,1650823200
156,Verkhoyansk,67.5447,133.385,-0.47,100,91,1.36,RU,1650823200
157,Vila Franca do Campo,37.7167,-25.4333,61.21,69,13,14.63,PT,1650823200
158,Pevek,69.7008,170.3133,0.55,99,99,4.54,RU,1650823200
159,Hambantota,6.1241,81.1185,81.82,79,49,3.98,LK,1650823200
160,Xinzhi,36.4989,111.7047,68.95,46,100,4.21,CN,1650823200
161,Saldanha,-33.0117,17.9442,58.5,80,0,17.9,ZA,1650823200
162,Lüderitz,-26.6481,15.1594,60.87,50,0,26.96,NA,1650823200
163,Kudahuvadhoo,2.6708,72.8944,84.56,70,16,5.23,MV,1650823200
164,Khovd,48.0056,91.6419,27.36,35,84,9.22,MN,1650823200
165,Yumen,40.2833,97.2,62.28,18,0,9.6,CN,1650823200
166,Bougouni,11.417,-7.479,101.07,8,7,7.14,ML,1650823200
167,Morro Bay,35.3658,-120.8499,68.94,61,6,8.12,US,1650823200
168,Oriximiná,-1.7656,-55.8661,84.09,70,79,5.7,BR,1650823200
169,Broken Hill,-31.95,141.4333,63.43,63,100,9.31,AU,1650823200
170,Kobelyaky,49.1489,34.1965,51.82,76,58,4.97,UA,1650823200
171,Abnūb,27.2696,31.1511,82.62,16,0,10.65,EG,1650823200
172,Florianópolis,-27.6146,-48.5012,74.14,75,40,11.7,BR,1650823200
173,Saskylakh,71.9167,114.0833,-7.83,100,43,2.95,RU,1650823200
174,Cabedelo,-6.9811,-34.8339,84.87,74,95,15.19,BR,1650823200
175,Sobolevo,54.4299,31.8996,46.89,81,91,7.38,RU,1650823200
176,Korla,41.7597,86.1469,69.26,24,72,8.14,CN,1650823200
177,Geraldton,-28.7667,114.6,72.55,72,97,4.7,AU,1650823200
178,Hong Kong,22.2855,114.1577,80.56,84,6,8.88,HK,1650823200
179,Margate,51.3813,1.3862,50.45,79,3,23.24,GB,1650823200
180,Zhigansk,66.7697,123.3711,-0.13,100,27,6.15,RU,1650823200
181,Umm Hājar,13.2954,19.6966,99.75,12,61,7.31,TD,1650823200
182,Santa Marta,11.2408,-74.199,87.85,66,40,12.15,CO,1650823200
183,Morón,-34.6534,-58.6198,77.5,38,4,12.77,AR,1650823200
184,Maniitsoq,65.4167,-52.9,28.96,89,99,7.43,GL,1650823200
185,Znamenskoye,57.1281,73.8282,29.35,73,15,4.03,RU,1650823200
186,Beloha,-25.1667,45.05,76.26,69,93,4.85,MG,1650823200
187,Tiarei,-17.5333,-149.3333,78.91,77,70,7.67,PF,1650823200
188,Kenai,60.5544,-151.2583,37.45,87,100,2.08,US,1650823200
189,Batagay,67.6333,134.6333,-0.78,100,91,0.81,RU,1650823200
190,Port Augusta,-32.5,137.7667,65.5,59,86,8.55,AU,1650823200
191,Alta Floresta,-9.8756,-56.0861,94.82,49,40,3.91,BR,1650823200
192,Vila Velha,-20.3297,-40.2925,82.35,76,20,17.56,BR,1650823200
193,Tena,-0.9833,-77.8167,78.96,93,94,2.8,EC,1650823200
194,Conceição do Araguaia,-8.2578,-49.2647,83.89,71,47,4.16,BR,1650823200
195,San Patricio,28.017,-97.5169,83.73,61,69,21.39,US,1650823200
196,Ouallam,14.3188,2.0866,99.37,8,70,6.98,NE,1650823200
197,Caborca,30.5838,-111.101,75.83,13,0,4.21,MX,1650823200
198,Goragorskiy,43.5031,45.0792,50.36,69,22,4.14,RU,1650823200
199,Tirunelveli,8.7333,77.7,84.36,71,19,2.84,IN,1650823200
200,Honiara,-9.4333,159.95,76.93,84,61,3.33,SB,1650823200
201,Sisimiut,66.9395,-53.6735,27.7,90,100,4.41,GL,1650823200
202,Lanzhou,36.0564,103.7922,60.35,44,99,3.22,CN,1650823200
203,Jiazi,22.8779,116.067,76.1,90,1,5.1,CN,1650823200
204,Vao,-22.6667,167.4833,74.03,65,96,23.82,NC,1650823200
205,Waipawa,-41.4122,175.5153,51.31,85,99,8.21,NZ,1650823200
206,Tete,-16.1564,33.5867,77.09,78,20,3.71,MZ,1650823200
207,Kiama,-34.6833,150.8667,62.33,88,98,6.67,AU,1650823200
208,Fortuna,40.5982,-124.1573,57.56,79,100,6.82,US,1650823200
209,Xiazhen,34.8022,117.1117,69.31,70,100,10.89,CN,1650823200
210,Ayagoz,47.9714,80.4392,32.34,49,82,15.48,KZ,1650823200
211,Pelym,61.0108,61.9978,29.75,97,46,2.44,RU,1650823200
212,Beringovskiy,63.05,179.3167,14.81,97,86,1.52,RU,1650823200
213,Arrondissement de Mantes-la-Jolie,49.0,1.6667,61.32,76,97,7.94,FR,1650823200
214,Conde,-7.2597,-34.9075,83.66,74,40,14.63,BR,1650823200
215,Kavieng,-2.5744,150.7967,81.57,77,60,9.19,PG,1650823200
216,Castro,-24.7911,-50.0119,76.32,59,34,3.36,BR,1650823200
217,Monte Alegre,-2.0078,-54.0692,84.78,64,78,6.4,BR,1650823200
218,Palmer,42.1584,-72.3287,52.32,42,100,4.52,US,1650823200
219,Bathsheba,13.2167,-59.5167,84.81,61,75,15.12,BB,1650823200
220,Salalah,17.0151,54.0924,81.81,76,48,5.84,OM,1650823200
221,Lebu,-37.6167,-73.65,53.73,83,100,19.19,CL,1650823200
222,Nador,35.174,-2.9287,64.65,59,0,4.72,MA,1650823200
223,Adrar,20.5022,-10.0711,90.0,17,0,14.18,MR,1650823200
224,Praia da Vitória,38.7333,-27.0667,64.65,63,20,20.42,PT,1650823200
225,Isangel,-19.55,169.2667,76.98,77,91,12.73,VU,1650823200
226,Alcúdia,39.8532,3.1214,65.7,63,1,10.09,ES,1650823200
227,Santoña,43.4439,-3.4576,59.85,80,90,5.68,ES,1650823200
228,Inuvik,68.3499,-133.7218,37.45,50,20,4.16,CA,1650823200
229,Marabba,12.35,32.1833,98.1,10,6,8.41,SD,1650823200
230,Ilulissat,69.2167,-51.1,30.22,80,75,6.44,GL,1650823200
231,Sinnamary,5.3833,-52.95,81.32,82,77,9.26,GF,1650823200
232,Ende,-8.8432,121.6623,76.55,82,21,2.44,ID,1650823200
233,Narsaq,60.9167,-46.05,50.22,82,88,6.98,GL,1650823200
234,Cabo San Lucas,22.8909,-109.9124,78.71,69,0,6.4,MX,1650823200
235,Pierre,44.3683,-100.351,41.81,70,100,23.71,US,1650823200
236,Ozark,37.0209,-93.206,63.19,80,100,8.9,US,1650823200
237,Baculin,7.4525,126.5842,77.77,85,100,3.56,PH,1650823200
238,New Norfolk,-42.7826,147.0587,49.28,85,78,1.12,AU,1650823200
239,Langsa,4.4683,97.9683,77.4,91,61,1.86,ID,1650823200
240,Akdağmadeni,39.6603,35.8836,59.85,45,28,3.74,TR,1650823200
241,Naze,28.3667,129.4833,70.52,93,34,7.07,JP,1650823200
242,Letlhakane,-21.4167,25.5833,72.43,37,31,2.44,BW,1650823200
243,Biak,-0.9131,122.8766,76.91,84,80,1.48,ID,1650823200
244,Yandyki,45.7691,47.1258,56.16,60,28,9.64,RU,1650823200
245,El Alto,-4.2714,-81.2147,78.46,71,89,12.15,PE,1650823200
246,Chapais,49.7834,-74.8492,38.98,70,100,11.72,CA,1650823200
247,Lompoc,34.6391,-120.4579,72.95,62,0,7.7,US,1650823200
248,Prince Rupert,54.3161,-130.3201,44.69,87,100,6.91,CA,1650823200
249,Kununurra,-15.7667,128.7333,79.48,83,79,4.61,AU,1650823200
250,Chicama,-7.8447,-79.1469,78.39,61,37,11.23,PE,1650823200
251,Norden,53.6,7.2,50.81,80,5,18.57,DE,1650823200
252,Kamaishi,39.2667,141.8833,53.6,87,35,6.29,JP,1650823200
253,Klaksvík,62.2266,-6.589,45.52,86,100,17.36,FO,1650823200
254,Touros,-5.1989,-35.4608,82.94,74,98,14.81,BR,1650823200
255,Coyhaique,-45.5752,-72.0662,39.15,93,100,6.71,CL,1650823200
256,Am Timan,11.0297,20.2827,93.9,27,69,5.06,TD,1650823200
257,Provideniya,64.3833,-173.3,25.25,74,5,3.33,RU,1650823200
258,Tiksi,71.6872,128.8694,-6.16,100,99,1.72,RU,1650823200
259,Celestún,20.8667,-90.4,88.18,55,2,9.15,MX,1650823200
260,Las Lomas,8.4333,-82.4,85.41,66,20,6.73,PA,1650823200
261,Jijiang,29.2906,106.2542,71.37,86,99,9.1,CN,1650823200
262,Itarema,-2.9248,-39.9167,82.62,75,44,7.23,BR,1650823200
263,Las Vegas,36.175,-115.1372,68.22,18,0,13.31,US,1650823200
264,Marawi,7.9986,124.2928,69.57,93,74,1.45,PH,1650823200
265,Ürümqi,43.801,87.6005,52.23,87,75,6.17,CN,1650823200
266,Tegul'det,57.3064,88.1667,26.98,95,88,5.61,RU,1650823200
267,Ojinaga,29.5667,-104.4167,86.95,17,0,9.28,MX,1650823200
268,Tonantins,-2.8731,-67.8022,87.22,61,98,4.25,BR,1650823200
269,Torrington,41.8007,-73.1212,60.19,36,94,5.14,US,1650823200
270,Tubualá,9.5167,-79.0333,82.47,73,36,4.03,PA,1650823200
271,Porto-Novo,6.4965,2.6036,82.47,75,100,7.36,BJ,1650823200
272,Saint Anthony,45.0205,-93.218,50.45,69,100,18.1,US,1650823200
273,Arman',59.7,150.1667,19.96,80,26,8.66,RU,1650823200
274,Pinega,64.7001,43.3936,32.77,93,100,2.91,RU,1650823200
275,Knokke-Heist,51.3333,3.3333,55.47,61,16,19.86,BE,1650823200
276,Nouakchott,18.0858,-15.9785,82.33,55,3,20.02,MR,1650823200
277,Baghmara,23.795,86.2085,88.77,12,93,3.13,IN,1650823200
278,Poya,-21.35,165.15,70.02,91,85,8.55,NC,1650823200
279,Great Yarmouth,52.6083,1.7305,52.52,86,5,17.29,GB,1650823200
280,La Plata,-34.9215,-57.9545,79.03,37,4,13.02,AR,1650823200
281,São Bernardo,-3.3614,-42.4178,83.44,78,57,3.22,BR,1650823200
282,Tavricheskoye,54.5851,73.6395,38.07,49,51,6.76,RU,1650823200
283,Kiryat Gat,31.61,34.7642,66.88,100,2,1.97,IL,1650823200
284,Edd,13.9297,41.6925,91.53,48,67,21.07,ER,1650823200
